Method,Params,Top1,Top5,CIFAR10,ZeroShot,Robust,Speed(s)
SimCLR-RealOnly,12489280,0.0714285746216774,0.2212885171175003,0.258899986743927,0.047900262467191604,0.09986526315789472,0.003012537956237793
DiffMix-SSL,12489280,0.3207283020019531,0.7254902124404907,0.18129999935626984,0.0074365704286964126,0.09579578947368422,0.001785135269165039
Distill-NoCompress,12489280,0.4047619104385376,0.7829131484031677,0.32510000467300415,0.007545931758530184,0.09780421052631579,0.0017376184463500977
Distill+Quant,12489280,0.39355742931365967,0.7955182194709778,0.32190001010894775,0.004921259842519685,0.10151157894736842,0.0017412424087524414
